frame,time_s,green_x,green_y,red_x,red_y
106,0.530000,1107,633,1435,525
107,0.535000,1107,633,1435,525
108,0.540000,1106,633,1435,525
109,0.545000,1106,634,1435,525
110,0.550000,1107,634,1435,525
111,0.555000,1107,634,1435,525
112,0.560000,1107,633,1435,525
113,0.565000,1107,633,1435,525
114,0.570000,1107,634,1435,525
115,0.575000,1107,633,1435,525
116,0.580000,1107,634,1435,525
117,0.585000,1107,634,1435,525
118,0.590000,1107,633,1435,525
119,0.595000,1107,634,1435,525
120,0.600000,1106,634,1435,525
121,0.605000,1106,633,1435,525
122,0.610000,1107,633,1435,525
123,0.615000,1106,633,1435,525
124,0.620000,1107,632,1435,525
125,0.625000,1107,632,1435,525
126,0.630000,1106,633,1435,525
127,0.635000,1106,633,1435,525
128,0.640000,1106,632,1435,525
129,0.645000,1106,632,1435,525
130,0.650000,1106,633,1435,525
131,0.655000,1106,633,1435,525
132,0.660000,1107,633,1436,525
133,0.665000,1108,634,1435,525
134,0.670000,1109,634,1435,525
135,0.675000,1108,633,1435,525
136,0.680000,1107,634,1435,525
137,0.685000,1106,633,1435,525
138,0.690000,1107,633,1435,525
139,0.695000,1107,632,1435,525
140,0.700000,1107,632,1435,525
141,0.705000,1108,633,1435,525
142,0.710000,1108,633,1435,525
143,0.715000,1108,633,1435,525
144,0.720000,1107,634,1435,525
145,0.725000,1108,634,1436,525
146,0.730000,1107,634,1435,525
147,0.735000,1107,633,1435,525
148,0.740000,1107,633,1435,525
149,0.745000,1108,633,1435,525
150,0.750000,1107,634,1435,525
151,0.755000,1107,633,1435,525
152,0.760000,1108,633,1435,525
153,0.765000,1108,633,1435,525
154,0.770000,1107,633,1435,525
155,0.775000,1107,633,1435,525
156,0.780000,1105,633,1435,525
157,0.785000,1105,633,1435,525
158,0.790000,1106,633,1435,525
159,0.795000,1107,634,1435,525
160,0.800000,1106,633,1435,525
161,0.805000,1106,633,1435,525
162,0.810000,1107,633,1435,525
163,0.815000,1107,634,1435,525
164,0.820000,1108,633,1435,525
165,0.825000,1108,633,1435,525
166,0.830000,1108,633,1435,525
167,0.835000,1107,633,1435,525
168,0.840000,1106,633,1435,525
169,0.845000,1106,633,1435,525
170,0.850000,1107,633,1435,525
171,0.855000,1107,633,1435,525
172,0.860000,1107,633,1435,525
173,0.865000,1107,633,1435,525
174,0.870000,1107,633,1435,525
175,0.875000,1107,633,1435,525
176,0.880000,1107,633,1435,525
177,0.885000,1107,634,1435,525
178,0.890000,1107,633,1435,525
179,0.895000,1107,633,1435,525
180,0.900000,1107,634,1435,525
181,0.905000,1108,633,1435,525
182,0.910000,1108,633,1435,525
183,0.915000,1108,634,1435,525
184,0.920000,1107,634,1435,525
185,0.925000,1108,633,1435,525
